Run,Group,BioReplicate
031716 iMN_1 iRT 6ug CTR_00i_1 SWATHvw100 1,Control,iMN_1
031716 iMN_10 iRT 6ug ALS_28i_2 SWATHvw100 20,C9_ALS,iMN_10
031716 iMN_11 iRT 6ug ALS_29i_1 SWATHvw100 6,C9_ALS,iMN_11
031716 iMN_12 iRT 6ug ALS_29i_2 SWATHvw100 21,C9_ALS,iMN_12
031716 iMN_13 iRT 6ug ALS_30i_1 SWATHvw100 7,C9_ALS,iMN_13
031716 iMN_15 iRT 6ug ALS_52i_1 SWATHvw100 8,C9_ALS,iMN_15
031716 iMN_16 iRT 6ug ALS_52i_2 SWATHvw100 23,C9_ALS,iMN_16
031716 iMN_19 iRT 6ug SMA_32i_1 SWATHvw100 31,SMA_Type1,iMN_19
031716 iMN_2 iRT 6ug CTR_00i_2 SWATHvw100 16,Control,iMN_2
031716 iMN_20 iRT 6ug SMA_32i_2 SWATHvw100 25,SMA_Type1,iMN_20
031716 iMN_21 iRT 6ug SMA_77i_1 SWATHvw100 37,SMA_Type1,iMN_21
031716 iMN_22 iRT 6ug SMA_77i_2 SWATHvw100 26,SMA_Type1,iMN_22
031716 iMN_23 iRT 6ug SMA_83i_1 SWATHvw100 11,SMA_Type1,iMN_23
031716 iMN_24 iRT 6ug SMA_83i_2 SWATHvw100 27,SMA_Type1,iMN_24
031716 iMN_5 iRT 6ug CTR_25i_1 SWATHvw100 3A,Control,iMN_5
031716 iMN_5 iRT 6ug CTR_25i_1 SWATHvw100 3B,Control,iMN_5
031716 iMN_5 iRT 6ug CTR_25i_1 SWATHvw100 3C,Control,iMN_5
031716 iMN_6 iRT 6ug CTR_25i_2 SWATHvw100 18,Control,iMN_6
031716 iMN_7 iRT 6ug CTR_83i_1 SWATHvw100 4,Control,iMN_7
031716 iMN_8 iRT 6ug CTR_83i_2 SWATHvw100 28,Control,iMN_8
031716 iMN_9 iRT 6ug ALS_28i_1 SWATHvw100 5,C9_ALS,iMN_9
